time [ms], AccX [g], AccY [g], AccZ [g], GyroX [deg/s], GyroY [deg/s], GyroZ [deg/s]
119544,0.25,-0.19,0.86,-187.07,-473.15,36.45
119547,0.28,-0.18,0.88,-189.96,-475.15,23.99
119551,0.30,-0.17,0.91,-191.13,-479.39,11.90
119554,0.33,-0.16,0.93,-193.27,-486.46,0.91
119557,0.36,-0.15,0.92,-196.73,-494.40,-8.63
119560,0.39,-0.14,0.91,-202.25,-504.06,-17.27
119564,0.43,-0.14,0.89,-208.34,-505.22,-23.47
119567,0.48,-0.15,0.89,-213.96,-505.22,-27.88
119571,0.51,-0.16,0.91,-217.67,-505.22,-29.52
119574,0.55,-0.15,0.91,-220.17,-505.22,-28.81
119578,0.57,-0.14,0.92,-222.47,-505.22,-26.25
119582,0.62,-0.12,0.87,-229.97,-505.22,-18.83
119585,0.64,-0.11,0.83,-236.75,-505.22,-11.65
119588,0.66,-0.12,0.81,-244.60,-505.22,-3.10
119591,0.68,-0.12,0.79,-251.76,-505.22,6.42
119595,0.69,-0.13,0.76,-258.28,-505.22,17.11
119598,0.71,-0.14,0.73,-264.86,-505.22,28.91
119602,0.72,-0.15,0.71,-270.96,-505.22,39.55
119605,0.75,-0.16,0.63,-277.79,-505.22,48.65
119608,0.79,-0.20,0.56,-284.90,-505.22,55.43
119612,0.83,-0.25,0.48,-291.99,-505.22,60.01
119615,0.87,-0.29,0.38,-297.48,-505.22,64.13
119619,0.91,-0.35,0.34,-300.37,-505.22,66.28
119622,0.95,-0.40,0.35,-297.70,-505.22,62.38
119625,0.97,-0.44,0.35,-291.45,-505.22,55.09
119629,0.99,-0.46,0.37,-281.44,-505.22,46.83
119632,0.97,-0.46,0.39,-267.19,-505.22,37.84
119635,0.96,-0.46,0.42,-251.12,-505.22,29.35
119639,0.93,-0.43,0.45,-235.96,-505.22,21.29
119642,0.91,-0.40,0.44,-224.60,-505.22,15.20
119646,0.89,-0.39,0.42,-216.99,-505.22,10.80
119649,0.86,-0.37,0.40,-212.00,-505.22,8.10
119652,0.85,-0.37,0.37,-208.14,-505.22,6.22
119656,0.81,-0.36,0.33,-203.60,-505.22,4.35
119659,0.80,-0.37,0.29,-200.55,-505.22,2.85
119663,0.79,-0.39,0.25,-198.63,-505.22,0.56
119666,0.79,-0.42,0.20,-196.02,-504.18,-1.49
119669,0.78,-0.44,0.17,-193.19,-496.67,-4.89
119672,0.78,-0.47,0.15,-188.61,-487.73,-9.30
119676,0.77,-0.50,0.15,-182.90,-481.16,-14.74
119679,0.79,-0.52,0.11,-178.99,-477.07,-22.40
